frame,timestamp_sec,Cheetah,Crocodile,Deer,Elephant,Leopard,Squirrel,Tiger,Zebra
1125,18.75,1,,,,1,,,
1126,18.77,1,,,,1,,,
1127,18.78,1,,,,1,,,
1128,18.8,1,,,,1,,,
1129,18.82,1,,,,1,,,
1130,18.83,1,,,,1,,,
1131,18.85,1,,1,,1,,,
1132,18.87,1,,1,,1,,,
1133,18.88,1,,1,,1,,,
1135,18.92,1,,,,,,,
1141,19.02,,,,,1,,,
1142,19.03,,,,,1,,,
1155,19.25,,,,,1,,,
1156,19.27,,,,,1,,,
1157,19.28,,,,,1,,,
1179,19.65,1,,,,,,,
1180,19.67,1,,,,,,,
1181,19.68,1,,,,,,,
1184,19.73,1,,,,,,,
1185,19.75,1,,,,,,,
1186,19.77,1,,,,,,,
1187,19.78,1,,,,,,,
1188,19.8,1,,,,,,,
1189,19.82,1,,,,,,,
1190,19.83,1,,,,,,,
1194,19.9,1,,,,,,,
1195,19.92,1,,,,,,,
1196,19.93,1,,,,,,,
1197,19.95,1,,,,,,,
1198,19.97,1,,,,,,,
1199,19.98,1,,,,,,,
1200,20.0,1,,,,,,,
1201,20.02,1,,,,,,,
1202,20.03,1,,,,,,,
1203,20.05,1,,,,,,,
1204,20.07,1,,,,,,,
1205,20.08,1,,,,,,,
1206,20.1,1,,,,,,,
1207,20.12,1,,,,1,,,
1208,20.13,1,,,,1,,,
1209,20.15,1,,,,1,,,
1210,20.17,1,,,,1,,,
1211,20.18,1,,,,1,,,
1212,20.2,1,,,,1,,,
1213,20.22,1,,,,,,,
1214,20.23,1,,,,,,,
1215,20.25,1,,,,,,,
1216,20.27,1,,,,,,,
1217,20.28,1,,,,,,,
1218,20.3,1,,,,,,,
1219,20.32,1,,,,,,,
1220,20.33,1,,,,,,,
1221,20.35,1,,,,1,,,
1222,20.37,1,,,,1,,,
1224,20.4,1,,,,,,,
1225,20.42,1,,,,,,,
1226,20.43,1,,,,,,,
1227,20.45,1,,,,,,,
1228,20.47,1,,,,,,,
1229,20.48,1,,,,,,,
1230,20.5,1,,,,,,,
1231,20.52,1,,,,,,,
1249,20.82,1,,,,,,,
1250,20.83,1,,,,,,,
1251,20.85,1,,,,,,,
1252,20.87,1,,,,,,,
1253,20.88,1,,,,,,,
1254,20.9,1,,,,,,,
1255,20.92,1,,,,,,,
1256,20.93,1,,,,,,,
1257,20.95,1,,,,1,,,
1258,20.97,1,,,,1,,,
1259,20.98,1,,,,1,,,
1260,21.0,1,,,,1,,,
1261,21.02,1,,,,1,,,
1262,21.03,1,,,,1,,,
1275,21.25,1,,,,,,,
1276,21.27,1,,1,,,,,
1277,21.28,1,,1,,,,,
1278,21.3,,,1,,,,,
1279,21.32,,,1,,,,,
1280,21.33,,,1,,,,,
1281,21.35,,,1,,,,,
1282,21.37,,,1,,,,,
1283,21.38,,,1,,,,,
